id,label,avg_y_speed,x_variance,x_range
1,0,5.6000000000000165,11.513697765433657,10.0
2,1,0.6000000000000159,2289.4321184216938,133.99952922815282
3,1,1.2599999999999922,2962.376400462403,153.99780272606705
4,0,4.399999999999984,12.663896583564172,12.0
5,1,1.7400000000000075,4301.337317767081,187.9823995830688
6,0,2.399999999999984,12.53809171597633,12.0
7,0,5.600000000000014,12.371882086167798,12.0
8,0,3.600000000000016,11.661415668977105,10.0
9,1,1.0199999999999876,1388.0402395011317,105.99848759066953
10,1,0.8999999999999841,1209.119570665148,97.99860173476995
11,1,0.77999999999998,1811.7362550346725,119.99957841327117
12,1,1.0800000000000174,2578.9400045015113,141.99797394221764
13,1,1.2599999999999922,923.837740673804,85.99877295092057
14,0,5.200000000000009,12.330886728823652,12.0
15,1,0.6000000000000159,1126.610726129098,93.9996697570624
16,0,5.399999999999984,12.45646895594867,12.0
17,1,1.1399999999999881,3692.7017792743827,171.99754590184114
18,1,0.65999999999999,4801.118542556826,195.99971993279053
19,1,0.9600000000000132,1795.3621805417279,117.99958543971664
20,0,4.600000000000016,12.695901018432794,12.0
21,0,2.799999999999982,11.513697765433657,10.0
22,1,0.8999999999999841,1112.6784922518418,93.9996697570624
23,1,1.2000000000000182,3402.677910820149,161.99768858196666
24,1,1.0199999999999876,1961.2430439943007,125.99820223041849
25,0,6.0,11.502395122659314,10.0
26,0,3.0,12.5256552762738,12.0
27,1,1.0199999999999876,2352.602200165499,137.9980310142679
28,1,1.2000000000000182,2545.0987250730172,139.99867842711484
29,1,0.9600000000000132,1287.9353500301265,99.99857319874485
30,1,1.620000000000004,925.6705387822043,83.99880148694567
31,1,1.1399999999999881,1058.0727537931741,91.99913153781833
32,0,3.800000000000007,11.632373113854596,10.0
33,1,1.2599999999999922,1151.1747725865032,95.99863027079505
34,1,1.7400000000000078,1320.69693722063,103.99602771583068
35,1,1.0800000000000172,2803.9754991556315,147.99860290866422
36,1,1.0800000000000172,1548.9455597052201,109.99896162130449
37,1,0.9600000000000132,952.5569848822815,85.99877295092057
38,1,1.379999999999996,4436.867364321428,185.99824419602396
39,0,2.799999999999982,11.513697765433657,10.0
40,0,5.0,11.423324150596878,10.0
41,1,0.8400000000000098,1004.4958403383636,89.99871587887037
42,0,2.799999999999982,11.513697765433657,10.0
43,1,1.799999999999982,3818.8452213779487,177.98333577545884
44,1,1.0800000000000174,1491.8050095469962,107.99845905464443
45,1,1.2000000000000182,1929.79187717753,121.99825930246868
46,0,3.399999999999987,11.539872477945671,10.0
47,0,3.7999999999999816,12.666666666666666,12.0
48,1,1.5599999999999745,1287.2662590117877,99.99857319874484
49,1,1.620000000000004,1209.039071062471,95.99863027079505
50,1,1.379999999999996,2511.210092397604,139.99800247824274
51,0,5.6000000000000165,11.513697765433657,10.0
52,1,1.7400000000000078,4408.021397343264,189.99274294238307
53,1,0.8400000000000098,4764.0385435109365,195.9972034695399
54,0,5.799999999999999,12.226415094339623,12.0
55,0,4.199999999999993,11.371661385242193,10.0
56,0,4.799999999999982,12.60207100591716,12.0
57,1,1.3200000000000214,2152.0153748548914,131.9981166223432
58,1,1.379999999999996,3041.52926385267,153.9985462698263
59,0,5.399999999999989,11.3936,10.0
60,1,1.2599999999999922,1150.9808784392383,95.99909377859308
61,1,1.799999999999982,2505.238483922909,143.99449991422716
62,1,1.4400000000000257,1474.997883734747,107.99587493567032
63,0,5.0,12.398399999999999,12.0
64,0,2.399999999999984,11.538461538461538,10.0
65,1,1.7400000000000075,2594.1406254391995,145.98633159110665
66,1,0.8999999999999841,1065.8341736554532,91.99967678350791
67,1,1.6799999999999786,3427.569013708879,163.99766004594153
68,1,0.8999999999999841,4936.7867372387045,197.99930438189745
69,0,5.6000000000000165,11.513697765433657,10.0
70,1,1.1399999999999881,3200.220049279922,159.99848963098836
71,1,0.6599999999999955,2323.197223400985,135.998059550293
72,1,1.7400000000000078,4408.021397343264,189.99274294238313
74,0,5.399999999999987,12.557093425605538,12.0
73,1,1.1399999999999881,1300.5894294026687,101.99903713975507
75,1,1.7400000000000075,1216.992224356915,99.99063807610048
76,1,0.9600000000000132,2527.2262811417604,139.99950814881637
77,0,6.0,11.502395122659312,10.0
78,0,2.600000000000016,11.666666666666666,10.0
79,0,3.2000000000000175,11.666666666666666,10.0
80,0,4.200000000000019,12.468046041946186,12.0
81,1,1.3200000000000214,3569.401075143845,169.9975744378662
83,0,4.799999999999982,12.60207100591716,12.0
82,1,1.3200000000000214,2936.0973392918313,153.99854626982628
84,0,3.800000000000002,12.774399999999998,12.0
85,0,4.799999999999994,12.70932632764121,12.0
86,0,3.799999999999998,11.306666666666665,12.0
87,0,4.600000000000012,11.666666666666666,10.0
88,0,5.6000000000000165,11.513697765433657,10.0
89,1,0.7200000000000176,2244.6410346860657,131.99811662234316
